Date,Open,High,Low,Close
2015-01-01,1.21038,1.21073,1.20783,1.20869
2015-01-02,1.20871,1.2089,1.20004,1.20017
2015-01-05,1.19495,1.19762,1.18677,1.19374
2015-01-06,1.19374,1.19687,1.18461,1.18722
2015-01-07,1.18722,1.18966,1.18022,1.18337
2015-01-08,1.18337,1.18475,1.17543,1.1792
2015-01-09,1.1792,1.1846,1.17629,1.18406
2015-01-12,1.18452,1.18708,1.17861,1.18318
2015-01-13,1.18319,1.18596,1.17531,1.1777
2015-01-14,1.17771,1.18464,1.17273,1.1784
2015-01-15,1.1784,1.17903,1.15675,1.1636
2015-01-16,1.16361,1.16487,1.146,1.15626
2015-01-19,1.15515,1.16388,1.15514,1.15947
2015-01-20,1.15946,1.1615,1.15405,1.15454
2015-01-21,1.15454,1.16799,1.15412,1.16147
2015-01-22,1.16146,1.16505,1.1316,1.13467
2015-01-23,1.13468,1.1374,1.11146,1.1202
2015-01-26,1.11521,1.12954,1.10979,1.12496
2015-01-27,1.12496,1.14225,1.12237,1.13678
2015-01-28,1.13678,1.13821,1.12725,1.1283
2015-01-29,1.12829,1.13678,1.12619,1.13337
2015-01-30,1.13338,1.13635,1.12783,1.1285
2015-02-02,1.13112,1.13621,1.12922,1.13387
2015-02-03,1.13386,1.15338,1.13124,1.14565
2015-02-04,1.14564,1.14848,1.13039,1.13165
2015-02-05,1.13165,1.14988,1.13159,1.14705
2015-02-06,1.14705,1.14735,1.13119,1.13128
2015-02-09,1.12957,1.13595,1.12703,1.13242
2015-02-10,1.13242,1.13454,1.12729,1.13185
2015-02-11,1.13185,1.13516,1.128,1.13108
2015-02-12,1.13109,1.14228,1.13034,1.14037
2015-02-13,1.14037,1.14427,1.138,1.13877
2015-02-16,1.13989,1.1429,1.13193,1.13322
2015-02-17,1.13322,1.14489,1.13218,1.14039
2015-02-18,1.14039,1.14156,1.13339,1.13995
2015-02-19,1.13995,1.145,1.13552,1.13657
2015-02-20,1.13655,1.14297,1.1279,1.13772
2015-02-23,1.13911,1.13961,1.12951,1.13336
2015-02-24,1.13336,1.13581,1.12883,1.13393
2015-02-25,1.13392,1.13886,1.13358,1.13638
2015-02-26,1.13637,1.13796,1.11836,1.12026
2015-02-27,1.12024,1.12451,1.11756,1.11933
2015-03-02,1.11808,1.12405,1.11601,1.11766
2015-03-03,1.11765,1.12175,1.11546,1.11827
2015-03-04,1.11826,1.11856,1.10616,1.1079
2015-03-05,1.10791,1.11142,1.09874,1.10316
2015-03-06,1.10316,1.10325,1.0839,1.0844
2015-03-09,1.08302,1.09065,1.08228,1.08348
2015-03-10,1.08351,1.08368,1.06679,1.07066
2015-03-11,1.07065,1.0717,1.05112,1.05477
2015-03-12,1.05478,1.06837,1.0494,1.06264
2015-03-13,1.06267,1.06347,1.04624,1.04943
2015-03-16,1.04701,1.06193,1.04697,1.05717
2015-03-17,1.05715,1.06507,1.05514,1.0595
2015-03-18,1.05948,1.10351,1.05799,1.08485
2015-03-19,1.08486,1.09193,1.06128,1.06688
2015-03-20,1.0669,1.08816,1.06555,1.0816
2015-03-23,1.08404,1.09713,1.07673,1.09441
2015-03-24,1.09441,1.10292,1.08904,1.09045
2015-03-25,1.09045,1.10144,1.09042,1.09632
2015-03-26,1.09631,1.10522,1.08564,1.08848
2015-03-27,1.0885,1.09485,1.08011,1.08874
2015-03-30,1.08861,1.0895,1.08098,1.08292
2015-03-31,1.08289,1.08455,1.0713,1.07399
2015-04-01,1.07398,1.07999,1.07184,1.07695
2015-04-02,1.07694,1.0905,1.07502,1.08697
2015-04-03,1.08699,1.1027,1.08638,1.09713
2015-04-06,1.10004,1.10356,1.091,1.09343
2015-04-07,1.09343,1.09547,1.08032,1.0822
2015-04-08,1.0822,1.08873,1.07629,1.07846
2015-04-09,1.07848,1.07886,1.06377,1.06665
2015-04-10,1.06665,1.06837,1.05679,1.06022
2015-04-13,1.05853,1.0619,1.05203,1.05719
2015-04-14,1.05717,1.07074,1.05315,1.06466
2015-04-15,1.06466,1.07017,1.05708,1.06763
2015-04-16,1.06763,1.08175,1.06247,1.0758
2015-04-17,1.07581,1.08487,1.07335,1.08048
2015-04-20,1.08186,1.0821,1.07124,1.07485
2015-04-21,1.07485,1.07811,1.06599,1.07384
2015-04-22,1.07383,1.08008,1.07086,1.07245
2015-04-23,1.07247,1.08452,1.06659,1.08138
2015-04-24,1.08138,1.09,1.07848,1.08706
