Date,Open,High,Low,Close
2015-01-01,1.55783,1.55871,1.55682,1.55786
2015-01-02,1.55786,1.55821,1.5324,1.5324
2015-01-05,1.53002,1.53193,1.51535,1.52569
2015-01-06,1.52569,1.52739,1.51082,1.51341
2015-01-07,1.51341,1.5155,1.5055,1.51049
2015-01-08,1.51045,1.51176,1.50342,1.50851
2015-01-09,1.50851,1.51755,1.50833,1.51554
2015-01-12,1.51766,1.51933,1.50985,1.51699
2015-01-13,1.51698,1.51916,1.50773,1.51672
2015-01-14,1.51672,1.52689,1.51449,1.52335
2015-01-15,1.52335,1.52666,1.51499,1.51793
2015-01-16,1.51793,1.52344,1.50752,1.5137
2015-01-19,1.5127,1.5179,1.50829,1.50887
2015-01-20,1.50889,1.51995,1.50572,1.51445
2015-01-21,1.51446,1.5179,1.50761,1.51428
2015-01-22,1.51428,1.52122,1.4972,1.5006
2015-01-23,1.50061,1.50356,1.49511,1.49855
2015-01-26,1.50076,1.5103,1.49865,1.50851
2015-01-27,1.50851,1.52235,1.50593,1.51883
2015-01-28,1.51883,1.52185,1.51306,1.51393
2015-01-29,1.51394,1.51622,1.50181,1.5077
2015-01-30,1.50769,1.50959,1.49887,1.50594
2015-02-02,1.50898,1.50969,1.50054,1.5026
2015-02-03,1.5026,1.51975,1.49883,1.51406
2015-02-04,1.51406,1.52506,1.51391,1.5178
2015-02-05,1.5178,1.53431,1.51678,1.53186
2015-02-06,1.53187,1.53521,1.52113,1.52363
2015-02-09,1.52252,1.52671,1.52004,1.52139
2015-02-10,1.52139,1.52758,1.51961,1.52581
2015-02-11,1.52579,1.52994,1.52188,1.52426
2015-02-12,1.52426,1.54146,1.52088,1.53895
2015-02-13,1.53895,1.5422,1.53708,1.53837
2015-02-16,1.54225,1.54405,1.53391,1.5353
2015-02-17,1.5353,1.54021,1.5316,1.53521
2015-02-18,1.5352,1.54794,1.53415,1.54344
2015-02-19,1.54341,1.54653,1.54038,1.5418
2015-02-20,1.54183,1.54338,1.53434,1.53917
2015-02-23,1.53955,1.54744,1.53323,1.54513
2015-02-24,1.54513,1.54738,1.54016,1.54558
2015-02-25,1.5456,1.55384,1.54526,1.55263
2015-02-26,1.55264,1.55519,1.53938,1.54135
2015-02-27,1.54137,1.54587,1.53841,1.54319
2015-03-02,1.54165,1.5428,1.53513,1.53577
2015-03-03,1.53577,1.53975,1.53443,1.53662
2015-03-04,1.53662,1.53715,1.52517,1.5262
2015-03-05,1.52619,1.52692,1.5215,1.52462
2015-03-06,1.52462,1.52518,1.50317,1.50332
2015-03-09,1.50337,1.51368,1.50304,1.51066
2015-03-10,1.51066,1.51096,1.50283,1.50767
2015-03-11,1.50765,1.50962,1.48926,1.49331
2015-03-12,1.49332,1.50265,1.48497,1.48904
2015-03-13,1.48905,1.48935,1.47,1.47412
2015-03-16,1.47387,1.48529,1.47313,1.48238
2015-03-17,1.48241,1.4845,1.47238,1.47499
2015-03-18,1.47496,1.51611,1.46347,1.496
2015-03-19,1.49605,1.50094,1.46878,1.47592
2015-03-20,1.47591,1.49888,1.47218,1.49594
2015-03-23,1.49676,1.49883,1.48383,1.49491
2015-03-24,1.49491,1.49837,1.48306,1.48334
2015-03-25,1.48335,1.49543,1.48332,1.48764
2015-03-26,1.48764,1.49941,1.48065,1.48548
2015-03-27,1.48548,1.49217,1.47963,1.48751
2015-03-30,1.48838,1.49006,1.47522,1.48074
2015-03-31,1.48072,1.48712,1.4755,1.48299
2015-04-01,1.48299,1.48711,1.47394,1.48332
2015-04-02,1.48332,1.48683,1.47755,1.48274
2015-04-03,1.48275,1.49442,1.481,1.49089
2015-04-06,1.49148,1.4981,1.48699,1.48886
2015-04-07,1.48886,1.49203,1.48027,1.48205
2015-04-08,1.48204,1.4972,1.48188,1.48755
2015-04-09,1.48753,1.48858,1.4684,1.47153
2015-04-10,1.47153,1.47245,1.45869,1.46318
2015-04-13,1.46172,1.46811,1.45656,1.46673
2015-04-14,1.46673,1.48014,1.46031,1.47714
2015-04-15,1.47714,1.48531,1.47003,1.48282
2015-04-16,1.48284,1.49698,1.48119,1.49259
2015-04-17,1.49259,1.50535,1.49159,1.49584
2015-04-20,1.49553,1.49834,1.48876,1.49092
2015-04-21,1.49095,1.49726,1.48562,1.49294
2015-04-22,1.49294,1.50794,1.49134,1.50363
2015-04-23,1.50366,1.50699,1.49595,1.50507
2015-04-24,1.50508,1.51876,1.50271,1.51865
2015-04-27,1.51731,1.52611,1.51067,1.52224
2015-04-28,1.52222,1.53426,1.51746,1.53308
2015-04-29,1.53308,1.54978,1.53276,1.54254
2015-04-30,1.54249,1.54919,1.53035,1.53536
2015-05-01,1.53536,1.5397,1.5114,1.51344
2015-05-04,1.51391,1.51744,1.50899,1.51205
2015-05-05,1.51204,1.52182,1.50889,1.51682
2015-05-06,1.5168,1.52911,1.51497,1.52394
2015-05-07,1.52396,1.54476,1.51632,1.53949
2015-05-08,1.53947,1.5522,1.53545,1.54435
2015-05-11,1.5443,1.56127,1.53928,1.55769
2015-05-12,1.55769,1.57102,1.55571,1.56687
2015-05-13,1.56684,1.57687,1.56331,1.57356
2015-05-14,1.57355,1.58144,1.5728,1.5771
2015-05-15,1.57712,1.58082,1.57011,1.57253
2015-05-18,1.5741,1.5745,1.56379,1.56618
2015-05-19,1.5662,1.56695,1.54463,1.55117
2015-05-20,1.55117,1.55875,1.54721,1.55411
2015-05-21,1.55411,1.56996,1.55249,1.5657
2015-05-22,1.56574,1.56896,1.54599,1.54789
2015-05-25,1.54728,1.55073,1.54561,1.54699
2015-05-26,1.54699,1.54701,1.53537,1.53938
2015-05-27,1.53936,1.54371,1.5301,1.53483
2015-05-28,1.53483,1.53855,1.526,1.53199
2015-05-29,1.53199,1.5342,1.52361,1.52899
2015-06-01,1.5292,1.53044,1.51699,1.5196
2015-06-02,1.51964,1.53669,1.51795,1.53355
2015-06-03,1.53354,1.53748,1.52507,1.53262
2015-06-04,1.53262,1.54415,1.53038,1.53587
2015-06-05,1.53586,1.53698,1.51899,1.52634
2015-06-08,1.52553,1.53639,1.52211,1.53415
2015-06-09,1.53413,1.53947,1.52571,1.53867
2015-06-10,1.53867,1.55534,1.53687,1.55011
2015-06-11,1.55008,1.55338,1.54212,1.55151
2015-06-12,1.5515,1.55979,1.54662,1.55561
2015-06-15,1.55446,1.56136,1.54872,1.55976
2015-06-16,1.55975,1.56538,1.55416,1.56386
2015-06-17,1.56385,1.58481,1.56251,1.58476
2015-06-18,1.58476,1.59294,1.58056,1.58783
2015-06-19,1.58783,1.58967,1.58351,1.58821
2015-06-22,1.58679,1.59096,1.5805,1.58262
2015-06-23,1.58262,1.58266,1.57085,1.57376
2015-06-24,1.57374,1.58026,1.56666,1.57041
2015-06-25,1.5704,1.57703,1.56765,1.57447
2015-06-26,1.57448,1.57668,1.57083,1.57398
2015-06-29,1.56934,1.57889,1.56621,1.57267
2015-06-30,1.57267,1.57754,1.56748,1.5683
2015-07-01,1.56826,1.57334,1.55878,1.56028
2015-07-02,1.56031,1.56396,1.55618,1.56088
2015-07-03,1.56088,1.56439,1.55545,1.55665
2015-07-06,1.55477,1.56282,1.55302,1.5598
2015-07-07,1.55981,1.56081,1.54135,1.54613
2015-07-08,1.54613,1.54666,1.53298,1.53662
2015-07-09,1.53662,1.54203,1.53432,1.53698
2015-07-10,1.53696,1.55509,1.53637,1.55061
2015-07-13,1.55001,1.55888,1.54769,1.54776
2015-07-14,1.54783,1.56393,1.54504,1.56344
2015-07-15,1.56344,1.56753,1.55765,1.56256
2015-07-16,1.56256,1.56503,1.55601,1.56108
2015-07-17,1.56107,1.56725,1.55531,1.56015
2015-07-20,1.55871,1.56273,1.55378,1.55686
2015-07-21,1.55684,1.55904,1.55289,1.55541
2015-07-22,1.55539,1.56465,1.55504,1.56129
2015-07-23,1.56128,1.56706,1.55008,1.55176
2015-07-24,1.55178,1.55259,1.54667,1.55027
2015-07-27,1.55118,1.55949,1.54905,1.5562
2015-07-28,1.5562,1.5628,1.55279,1.56077
2015-07-29,1.56075,1.56898,1.55877,1.55983
2015-07-30,1.55985,1.56412,1.55625,1.56029
2015-07-31,1.56029,1.56778,1.55491,1.56146
2015-08-03,1.56314,1.56447,1.55651,1.55888
2015-08-04,1.55888,1.56335,1.55576,1.55655
2015-08-05,1.55655,1.5651,1.55258,1.56029
2015-08-06,1.56029,1.56367,1.54666,1.55124
2015-08-07,1.55119,1.55451,1.54245,1.54894
2015-08-10,1.54868,1.56055,1.54581,1.55841
2015-08-11,1.55841,1.5616,1.55549,1.55827
2015-08-12,1.55825,1.56601,1.55339,1.56096
2015-08-13,1.56102,1.56366,1.55735,1.56133
2015-08-14,1.56132,1.56597,1.55886,1.56385
2015-08-17,1.56526,1.5688,1.55788,1.55809
2015-08-18,1.5581,1.57167,1.55621,1.56624
2015-08-19,1.56629,1.57001,1.56349,1.56825
2015-08-20,1.56818,1.57015,1.5606,1.56881
2015-08-21,1.5688,1.57233,1.56577,1.56888
2015-08-24,1.56765,1.58024,1.56302,1.57592
2015-08-25,1.57596,1.58181,1.568,1.56965
2015-08-26,1.56962,1.57196,1.54523,1.54787
2015-08-27,1.54789,1.55083,1.53698,1.541
2015-08-28,1.541,1.54429,1.5335,1.53831
2015-08-31,1.54102,1.54368,1.53392,1.53617
2015-09-01,1.53617,1.54074,1.52996,1.53015
2015-09-02,1.53013,1.53254,1.52639,1.53047
2015-09-03,1.53048,1.53129,1.52189,1.52577
2015-09-04,1.52575,1.52737,1.51639,1.5165
2015-09-07,1.51766,1.52882,1.51712,1.52742
2015-09-08,1.52743,1.54121,1.52721,1.53951
2015-09-09,1.53951,1.54043,1.53496,1.53565
2015-09-10,1.53562,1.54754,1.53386,1.54398
2015-09-11,1.54398,1.54615,1.53998,1.54263
2015-09-14,1.543,1.54708,1.53728,1.54257
2015-09-15,1.54257,1.54568,1.53295,1.53424
2015-09-16,1.53425,1.55282,1.53299,1.55117
2015-09-17,1.55116,1.56276,1.54859,1.55658
2015-09-18,1.55662,1.56585,1.55138,1.55223
2015-09-21,1.55217,1.55677,1.54805,1.55061
2015-09-22,1.55064,1.55288,1.53404,1.53515
2015-09-23,1.53516,1.53638,1.52206,1.52479
2015-09-24,1.5248,1.52888,1.52004,1.52297
2015-09-25,1.52297,1.52602,1.51352,1.51748
2015-09-28,1.51792,1.52409,1.51573,1.51614
2015-09-29,1.51614,1.52049,1.51286,1.51538
2015-09-30,1.5154,1.52136,1.51072,1.5121
2015-10-01,1.51209,1.51798,1.51069,1.51372
2015-10-02,1.51369,1.52372,1.51351,1.51809
2015-10-05,1.51889,1.52441,1.51367,1.51524
2015-10-06,1.51524,1.52427,1.51397,1.52254
2015-10-07,1.52258,1.53393,1.52241,1.53146
2015-10-08,1.53146,1.53719,1.52614,1.5349
2015-10-09,1.53493,1.53831,1.52998,1.53041
2015-10-12,1.53055,1.53728,1.53055,1.5335
2015-10-13,1.53351,1.53872,1.52003,1.52542
2015-10-14,1.52542,1.54942,1.52536,1.54763
2015-10-15,1.54764,1.55084,1.54151,1.54693
2015-10-16,1.54693,1.54861,1.54301,1.5432
2015-10-19,1.5437,1.54964,1.54273,1.54695
2015-10-20,1.54695,1.55059,1.54351,1.54451
2015-10-21,1.54452,1.5477,1.54114,1.542
2015-10-22,1.542,1.55082,1.53689,1.53835
2015-10-23,1.53839,1.54188,1.53058,1.53105
2015-10-26,1.53162,1.53815,1.53047,1.53527
2015-10-27,1.53525,1.53583,1.52826,1.53104
2015-10-28,1.53105,1.5347,1.52484,1.52688
2015-10-29,1.52685,1.53241,1.52421,1.53202
2015-10-30,1.53202,1.54676,1.53087,1.54259
2015-11-02,1.54488,1.54968,1.54039,1.54213
2015-11-03,1.54216,1.54451,1.53594,1.54178
2015-11-04,1.54178,1.54449,1.53606,1.53868
2015-11-05,1.53866,1.54014,1.52048,1.52087
2015-11-06,1.52089,1.52192,1.50268,1.50412
2015-11-09,1.50506,1.51282,1.50414,1.51184
2015-11-10,1.51184,1.51454,1.50912,1.51355
2015-11-11,1.51355,1.52281,1.51294,1.52218
2015-11-12,1.52214,1.52464,1.51739,1.52311
2015-11-13,1.52311,1.52633,1.51874,1.52348
2015-11-16,1.52273,1.52289,1.51813,1.51999
2015-11-17,1.51997,1.52384,1.51542,1.52155
2015-11-18,1.52157,1.52486,1.51878,1.52382
2015-11-19,1.52382,1.53355,1.52355,1.52852
2015-11-20,1.52852,1.53095,1.5182,1.51855
2015-11-23,1.5181,1.51954,1.51088,1.51252
2015-11-24,1.51253,1.51554,1.50533,1.50786
2015-11-25,1.50789,1.5136,1.50558,1.51223
2015-11-26,1.51224,1.51303,1.5066,1.5101
2015-11-27,1.51007,1.51092,1.50297,1.50297
2015-11-30,1.50335,1.50682,1.49936,1.50562
2015-12-01,1.50562,1.51255,1.50503,1.50758
2015-12-02,1.50759,1.50806,1.48946,1.49463
2015-12-03,1.49463,1.5159,1.49044,1.51326
2015-12-04,1.51324,1.51559,1.50778,1.51032
2015-12-07,1.5107,1.51145,1.50441,1.50471
2015-12-08,1.50472,1.5061,1.49567,1.50084
2015-12-09,1.50086,1.51912,1.5004,1.51786
2015-12-10,1.51788,1.52017,1.51108,1.51596
2015-12-11,1.51596,1.52398,1.51251,1.52174
2015-12-14,1.52308,1.52308,1.51074,1.51574
2015-12-15,1.51576,1.51841,1.50292,1.50438
2015-12-16,1.50436,1.50985,1.49589,1.49745
2015-12-17,1.49746,1.50065,1.48648,1.49284
2015-12-18,1.49284,1.49496,1.48847,1.48905
2015-12-21,1.49006,1.4929,1.48771,1.4891
2015-12-22,1.48914,1.49076,1.48052,1.48197
2015-12-23,1.48202,1.49002,1.48199,1.48729
2015-12-24,1.48729,1.49449,1.48692,1.49089
2015-12-25,1.49089,1.49429,1.48952,1.49266
2015-12-28,1.49042,1.49337,1.48738,1.48908
2015-12-29,1.48908,1.49133,1.47852,1.48199
2015-12-30,1.48199,1.48484,1.47927,1.48171
2015-12-31,1.48171,1.48447,1.47266,1.47293
2016-01-01,1.47352,1.47352,1.47352,1.47352
2016-01-04,1.47336,1.4816,1.4663,1.47115
2016-01-05,1.47121,1.47254,1.46381,1.46733
2016-01-06,1.4673,1.46797,1.4602,1.46275
2016-01-07,1.46276,1.46403,1.45329,1.46215
2016-01-08,1.46214,1.46445,1.4506,1.45175
