Date,Open,High,Low,Close
2015-01-01,119.746,119.967,119.701,119.885
2015-01-02,119.885,120.741,119.805,120.445
2015-01-05,120.499,120.645,119.259,119.421
2015-01-06,119.422,119.507,118.05,118.661
2015-01-07,118.662,119.648,118.641,119.282
2015-01-08,119.281,119.963,119.159,119.798
2015-01-09,119.797,119.852,118.419,118.464
2015-01-12,118.321,119.318,118.1,118.338
2015-01-13,118.337,118.849,117.536,117.812
2015-01-14,117.813,117.926,116.072,117.433
2015-01-15,117.431,117.942,115.893,116.134
2015-01-16,116.135,117.762,115.853,117.58
2015-01-19,117.455,117.823,116.921,117.743
2015-01-20,117.743,118.867,117.695,118.66
2015-01-21,118.657,118.761,117.183,117.847
2015-01-22,117.847,118.815,117.249,118.711
2015-01-23,118.711,118.735,117.538,117.737
2015-01-26,117.514,118.622,117.263,118.521
2015-01-27,118.521,118.659,117.338,117.783
2015-01-28,117.783,118.261,117.251,117.588
2015-01-29,117.588,118.489,117.556,118.27
2015-01-30,118.27,118.291,117.299,117.501
2015-02-02,116.93,117.878,116.93,117.595
2015-02-03,117.595,117.743,116.876,117.66
2015-02-04,117.66,117.998,117.072,117.3
2015-02-05,117.3,117.596,117.021,117.536
2015-02-06,117.537,119.221,117.172,119.095
2015-02-09,119.015,119.096,118.332,118.593
2015-02-10,118.592,119.619,118.399,119.361
2015-02-11,119.36,120.476,119.285,120.202
2015-02-12,120.203,120.373,118.51,118.93
2015-02-13,118.93,119.198,118.41,118.734
2015-02-16,118.432,118.785,118.277,118.484
2015-02-17,118.484,119.415,118.235,119.21
2015-02-18,119.211,119.415,118.544,118.716
2015-02-19,118.72,119.178,118.431,118.983
2015-02-20,118.983,119.188,118.301,118.966
2015-02-23,119.069,119.352,118.738,118.914
2015-02-24,118.914,119.838,118.765,118.869
2015-02-25,118.869,119.064,118.625,118.824
2015-02-26,118.823,119.503,118.679,119.382
2015-02-27,119.382,119.798,119.114,119.57
2015-03-02,119.701,120.264,119.63,120.211
2015-03-03,120.211,120.211,119.379,119.633
2015-03-04,119.632,119.824,119.469,119.644
2015-03-05,119.643,120.394,119.628,120.059
2015-03-06,120.059,121.28,119.897,120.827
2015-03-09,120.827,121.616,120.612,121.427
2015-03-10,121.426,122.025,120.852,121.052
2015-03-11,121.052,121.624,121.019,121.411
2015-03-12,121.411,121.668,120.654,121.326
2015-03-13,121.325,121.572,121.135,121.368
2015-03-16,121.348,121.456,121.09,121.375
2015-03-17,121.375,121.519,121.114,121.299
2015-03-18,121.298,121.407,119.293,120.071
2015-03-19,120.071,121.033,119.673,120.75
2015-03-20,120.749,121.201,119.899,120.023
2015-03-23,119.808,120.165,119.573,119.761
2015-03-24,119.76,119.983,119.221,119.785
2015-03-25,119.784,119.825,119.233,119.514
2015-03-26,119.513,119.516,118.328,119.197
2015-03-27,119.199,119.491,118.93,119.123
2015-03-30,119.213,120.226,119.108,120.024
2015-03-31,120.025,120.364,119.778,119.979
2015-04-01,119.975,120.328,119.416,119.584
2015-04-02,119.585,119.896,119.452,119.694
2015-04-03,119.696,119.956,118.722,118.926
2015-04-06,118.832,119.679,118.798,119.485
2015-04-07,119.486,120.446,119.45,120.281
2015-04-08,120.281,120.318,119.643,120.102
2015-04-09,120.102,120.738,119.859,120.557
2015-04-10,120.558,120.624,120.056,120.169
2015-04-13,120.335,120.844,119.694,120.05
2015-04-14,120.054,120.114,119.071,119.451
2015-04-15,119.452,119.744,118.789,119.143
2015-04-16,119.144,119.471,118.794,119.06
2015-04-17,119.062,119.263,118.568,118.837
2015-04-20,119.001,119.434,118.529,119.215
2015-04-21,119.215,119.833,119.215,119.661
2015-04-22,119.663,120.004,119.348,119.948
2015-04-23,119.948,120.093,119.425,119.566
2015-04-24,119.567,119.631,118.828,118.972
2015-04-27,118.861,119.433,118.774,119.135
2015-04-28,119.135,119.197,118.774,118.832
2015-04-29,118.831,119.36,118.61,118.983
2015-04-30,118.982,119.894,118.497,119.475
2015-05-01,119.472,120.286,119.467,120.19
2015-05-04,120.221,120.275,119.997,120.115
2015-05-05,120.113,120.505,119.726,119.941
2015-05-06,119.94,120.045,119.205,119.397
2015-05-07,119.396,119.861,119.056,119.72
2015-05-08,119.721,120.233,119.593,119.758
2015-05-11,119.632,120.169,119.632,120.122
2015-05-12,120.122,120.276,119.754,119.848
2015-05-13,119.848,119.972,119.035,119.19
2015-05-14,119.191,119.337,118.886,119.216
2015-05-15,119.217,119.927,119.176,119.206
2015-05-18,119.269,120.035,119.245,119.914
2015-05-19,119.914,120.739,119.83,120.646
2015-05-20,120.646,121.478,120.646,121.21
2015-05-21,121.208,121.258,120.846,121.057
2015-05-22,121.055,121.571,120.639,121.528
2015-05-25,121.483,121.776,121.446,121.652
2015-05-26,121.652,123.32,121.648,122.992
2015-05-27,122.991,124.069,122.777,123.733
2015-05-28,123.733,124.46,123.493,123.81
2015-05-29,123.81,124.184,123.606,124.135
2015-06-01,124.067,124.917,123.859,124.866
2015-06-02,124.865,125.053,123.753,124.054
2015-06-03,124.055,124.682,123.791,124.305
2015-06-04,124.307,124.68,123.779,124.392
2015-06-05,124.393,125.853,124.358,125.574
2015-06-08,125.587,125.678,124.294,124.58
2015-06-09,124.577,124.738,123.86,124.353
2015-06-10,124.353,124.62,122.456,122.882
2015-06-11,122.883,124.133,122.858,123.598
2015-06-12,123.599,123.814,123.141,123.377
2015-06-15,123.188,123.66,123.122,123.421
2015-06-16,123.422,123.798,123.291,123.456
2015-06-17,123.455,124.438,123.208,123.573
2015-06-18,123.573,123.585,122.478,123.001
2015-06-19,123.001,123.217,122.559,122.658
2015-06-22,122.947,123.419,122.56,123.418
2015-06-23,123.419,124.184,123.373,123.874
2015-06-24,123.875,124.375,123.717,123.861
2015-06-25,123.86,123.957,123.319,123.593
2015-06-26,123.593,123.99,123.225,123.831
2015-06-29,122.68,123.192,122.107,122.668
2015-06-30,122.666,122.725,121.942,122.418
2015-07-01,122.408,123.332,122.393,123.33
2015-07-02,123.329,123.718,122.954,123.06
2015-07-03,123.06,123.183,122.6,122.78
2015-07-06,121.869,122.928,121.851,122.666
2015-07-07,122.665,122.882,122.009,122.536
2015-07-08,122.537,122.553,120.414,120.891
2015-07-09,120.889,121.804,120.584,121.71
2015-07-10,121.708,122.877,121.508,122.763
2015-07-13,122.163,123.643,122.163,123.611
2015-07-14,123.611,123.73,122.921,123.336
2015-07-15,123.338,123.97,123.261,123.914
2015-07-16,123.916,124.204,123.742,124.169
2015-07-17,124.17,124.23,123.918,123.99
2015-07-20,124.014,124.378,124.014,124.303
2015-07-21,124.303,124.477,123.762,123.868
2015-07-22,123.869,124.15,123.572,124.066
2015-07-23,124.065,124.186,123.677,123.886
2015-07-24,123.885,124.095,123.596,123.78
2015-07-27,123.718,123.837,123.009,123.276
