Date,Open,High,Low,Close
2015-01-01,1183.949,1187.403,1183.23,1186.664
2015-01-02,1186.684,1194.998,1167.43,1188.281
2015-01-05,1188.111,1207.387,1177.929,1203.241
2015-01-06,1203.23,1223.022,1201.603,1216.116
2015-01-07,1216.372,1218.568,1208.951,1212.269
2015-01-08,1212.27,1216.429,1204.771,1208.107
2015-01-09,1208.096,1223.978,1206.939,1223.032
2015-01-12,1223.029,1235.822,1217.472,1231.277
2015-01-13,1231.264,1244.087,1227.238,1233.007
2015-01-14,1233.007,1244.308,1224.976,1230.866
2015-01-15,1230.891,1266.712,1225.965,1261.93
2015-01-16,1261.979,1282.031,1254.93,1280.222
2015-01-19,1280.082,1281.358,1271.998,1275.541
2015-01-20,1275.572,1297.121,1274.001,1292.021
2015-01-21,1292.08,1305.244,1284.549,1291.811
2015-01-22,1291.768,1307.474,1279.534,1300.912
2015-01-23,1300.841,1301.808,1284.308,1294.001
2015-01-26,1293.109,1299.109,1275.828,1279.872
2015-01-27,1279.868,1297.527,1272.221,1293.338
2015-01-28,1293.349,1293.629,1279.7,1284.862
2015-01-29,1284.961,1285.871,1252.05,1260.68
2015-01-30,1260.679,1284.699,1257.041,1283.351
2015-02-02,1281.849,1283.341,1266.292,1274.59
2015-02-03,1274.601,1285.67,1255.461,1261.441
2015-02-04,1261.411,1273.879,1256.634,1272.341
2015-02-05,1272.364,1273.665,1256.141,1265.327
2015-02-06,1265.328,1268.696,1228.298,1233.602
2015-02-09,1236.38,1243.658,1234.229,1238.668
2015-02-10,1238.677,1245.808,1230.946,1233.418
2015-02-11,1233.443,1238.649,1216.499,1220.502
2015-02-12,1220.487,1232.867,1219.061,1223.566
2015-02-13,1223.555,1234.899,1222.8,1229.461
2015-02-16,1227.921,1236.538,1227.242,1231.762
2015-02-17,1231.76,1233.932,1203.713,1209.362
2015-02-18,1209.354,1214.339,1197.531,1213.055
2015-02-19,1213.12,1222.912,1205.334,1208.792
2015-02-20,1208.792,1215.388,1198.141,1201.632
2015-02-23,1203.37,1210.279,1190.749,1203.036
2015-02-24,1203.042,1205.009,1190.388,1204.861
2015-02-25,1204.861,1211.782,1201.069,1205.552
2015-02-26,1205.552,1219.941,1203.531,1210.091
2015-02-27,1210.073,1219.329,1204.439,1212.623
2015-03-02,1213.669,1223.189,1204.595,1206.879
2015-03-03,1206.899,1214.768,1195.378,1204.624
2015-03-04,1204.594,1208.931,1198.214,1202.268
2015-03-05,1202.268,1209.38,1196.458,1200.099
2015-03-06,1200.069,1200.639,1163.723,1166.991
2015-03-09,1169.209,1175.289,1165.798,1166.589
2015-03-10,1166.573,1170.529,1155.192,1163.891
2015-03-11,1163.931,1165.191,1147.462,1155.479
2015-03-12,1155.48,1166.479,1148.538,1154.061
2015-03-13,1154.061,1161.718,1151.348,1158.093
2015-03-16,1158.72,1164.047,1150.336,1156.36
2015-03-17,1156.345,1159.829,1142.759,1149.769
2015-03-18,1149.801,1175.605,1145.908,1171.638
2015-03-19,1171.688,1177.741,1159.514,1171.96
2015-03-20,1171.96,1187.947,1168.728,1181.884
2015-03-23,1183.469,1191.579,1179.308,1189.539
2015-03-24,1189.553,1194.989,1185.399,1191.748
2015-03-25,1191.798,1199.689,1186.618,1194.918
2015-03-26,1194.918,1219.681,1194.468,1203.219
2015-03-27,1203.18,1206.147,1192.599,1198.293
2015-03-30,1198.571,1199.361,1182.318,1185.904
2015-03-31,1185.893,1190.719,1178.391,1183.583
2015-04-01,1183.632,1208.598,1180.821,1203.821
2015-04-02,1203.821,1207.302,1194.909,1201.899
2015-04-03,1201.899,1201.899,1201.899,1201.899
2015-04-06,1213.16,1224.188,1212.9,1214.68
2015-04-07,1214.68,1214.778,1207.425,1208.906
2015-04-08,1208.918,1212.311,1197.379,1201.179
2015-04-09,1201.179,1202.601,1192.618,1194.443
2015-04-10,1194.444,1210.739,1193.252,1206.774
2015-04-13,1206.831,1209.498,1196.388,1199.212
2015-04-14,1199.219,1201.429,1183.97,1193.878
2015-04-15,1193.879,1205.023,1188.901,1204.769
2015-04-16,1204.759,1209.168,1194.752,1199.063
2015-04-17,1199.044,1207.779,1197.428,1203.046
2015-04-20,1204.572,1209.077,1191.383,1196.026
2015-04-21,1196.026,1204.282,1193.139,1201.807
2015-04-22,1201.819,1204.759,1185.679,1188.953
2015-04-23,1188.953,1197.98,1184.304,1193.791
2015-04-24,1193.791,1195.902,1175.204,1179.054
2015-04-27,1179.82,1207.218,1178.613,1199.816
2015-04-28,1199.816,1215.031,1199.211,1211.636
2015-04-29,1211.626,1214.044,1201.347,1204.612
2015-04-30,1204.602,1207.179,1177.051,1184.41
2015-05-01,1184.425,1185.189,1169.583,1178.028
2015-05-04,1177.962,1192.812,1177.709,1188.401
2015-05-05,1188.401,1199.809,1185.709,1195.261
2015-05-06,1195.261,1197.605,1188.222,1190.278
2015-05-07,1190.278,1191.31,1178.837,1184.251
2015-05-08,1184.251,1193.445,1181.811,1187.88
2015-05-11,1189.489,1191.77,1178.891,1183.752
2015-05-12,1183.74,1197.025,1180.829,1192.355
